name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Свидание,4BREWERS,Stout - American,2024-09-17,3.709,,,,,5.5,,4
ICE BATTLE,Big Village Brewery,IPA - Cold,2024-09-03,3.908,50.0,,,,6.0,,4
La Trappe Blond,Bierbrouwerij De Koningshoeven,Belgian Blonde,,3.671,20.0,,,,6.5,,4
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,2010-08-21,3.449,33.0,,,,5.2,,3
Starlingtons Black Spot,Hobsons Brewery,Stout - English,2024-09-14,3.734,26.0,,,,4.0,,4
Albion,13 Litar,Bitter - Extra Special / Strong (ESB),2019-03-06,3.692,30.0,"Perle,Chinook,Crystal","Pale Ale,Munich,Vienna,Crystal,Special W",,5.2,13.0,4
Zhigulevskoe Nefiltrovannoe (Жигулевское Нефильтрованное),Жигулёвское пиво,Lager - Pale,2016-08-23,3.465,,,,,4.5,,4
Crimson Bastion,Selfmade Brewery,Sour - Fruited,2024-08-22,4.06,15.0,,,,5.6,,4
Мы делили апельсин,Khoffner,Sour - Fruited,2023-03-30,4.026,7.0,,,,6.0,,4
After Christmas Carols,Midnight Project,Winter Warmer,2024-01-12,3.996,25.0,,,,6.8,,4
Your Quintuple Symbiote Juice,Midnight Project,Sour - Fruited,2021-07-23,4.276,10.0,,,,6.8,,4
Hop Headshot: Strata,Midnight Project,IPA - Triple,2024-10-04,4.226,111.0,,,,6.8,,4
Raspberry & Rosemary,Discovery Brewing,Sour - Other,2023-03-02,3.844,,,,,5.5,,4
Rainy Days,Midnight Project,IPA - Imperial / Double New England / Hazy,2023-10-20,4.184,30.0,"Ahhhroma,Idaho 7,Mosaic",,,6.8,,4
Здурнелі зусім і дадалі ў пшанічку Нельсан,Midnight Project,Wheat Beer - Hopfenweisse,2024-09-05,4.123,14.0,,,,6.9,,4
Blend Me! Sour & Melomel,Midnight Project,Mead - Other,2024-08-30,4.151,,,,,6.8,,4
St. Patriki,Zavod,Stout - Irish Dry,2023-03-06,3.621,35.0,,,,4.3,,4
Соль и ветер,Brewlok,Sour - Other Gose,2024-08-01,3.425,,,,,5.0,,4
Mind Heist,GAS Brew,Stout - Russian Imperial,2024-02-13,3.7,,,,,6.8,,4
Motion Blur,GAS Brew,Stout - Russian Imperial,2024-02-24,4.098,,,,,6.8,,4
Lobkowicz Premium ležák,Pivovary Lobkowicz,Pilsner - Czech / Bohemian,2012-08-15,3.187,,,,,4.7,,3
Lager,13 Litar,Pilsner - Czech / Bohemian,2015-12-18,3.424,,,,,4.5,,4
Spontané De Concombre,Ame Wild Freaks,Wild Ale - American,2021-06-26,4.002,,,,,6.8,,4
Shapes & Lines,Wild Lab,IPA - Imperial / Double,2023-12-08,3.962,,,,,6.8,,4
Эпоха 80-х,Роян,Lager - Pale,2022-09-14,2.786,,,,,4.5,,3
Ирландский стаут,Alaska Brewery,Stout - Irish Dry,2023-12-15,3.63,,,,,6.0,,4
Tower Stories,Selfmade Brewery,Pale Ale - New England / Hazy,2024-08-27,3.957,38.0,,,,5.2,,4
Жигулевское ГОСТ,Sibirsky Standart (Сибирский Стандарт),Lager - Euro Pale,2019-10-04,,11.0,,,,4.2,,3
IPA,13 Litar,IPA - American,2016-03-24,3.901,50.0,"Premiant,Simcoe,Kazbek,Jarrylo","Pale Ale,Pilsner,Munich,Caraaroma,Carared",,5.1,15.0,4
Lambic Kriek,Трёхсосенский,Fruit Beer,2022-04-12,2.913,,,,,5.0,,3
Dickiy Crest Original,Rebel Apple,Cider - Traditional / Apfelwein,2021-12-02,3.92,,,,,6.0,,4
Сухой,La Foire de Нижний Новгород,Cider - Dry,2021-07-14,3.898,,,,,4.5,,4
Dry Cider,Cornish Orchards,Cider - Dry,2018-04-19,3.553,,,,,5.2,,4
Cider Berry Mix,Ashram Cider,Cider - Other Fruit,2021-06-28,4.016,,,,,5.0,,4
Святой Домкрат (Vintage 2021. Special Blend),On the Bones,Cider - Traditional / Apfelwein,2022-11-10,4.191,,,,,5.5,,4
Lemon Alien. Vintage 2022. (Anniversary XII Believe Bar),Toksovo Cidrerie / Токсовская Сидрерия,Cider - Other Fruit,2023-10-19,,,,,,4.6,,4
EDEN SIN,Rebel Apple,Cider - Sweet,2022-06-23,4.099,,,,,5.0,,4
Top Hat,Заповедник,Cider - Herbed / Spiced / Hopped,2021-11-22,4.073,,,,,5.5,,4
Perry,Salut!,Cider - Perry / Poiré,2024-04-10,3.878,,,,,5.5,,4
His Last Dying Wish,"Заповедник,Dieta",Cider - Other Fruit,2022-10-03,4.075,,,,,6.0,,4
Ice Cube Cider с Черникой,CUBE Ciders,Cider - Ice,2022-04-28,4.11,,,,,6.8,,4
Ice Cider,Löwendorf,Cider - Ice,2020-06-22,3.882,,,,,6.8,,4
Infinity Travel,Big Village Brewery,IPA - Imperial / Double,2022-04-06,3.927,90.0,,,,6.8,,4
Тульский Эль,Salden’s Brewery,Pale Ale - Other,2024-05-23,3.46,10.0,,,,4.5,,3
Гречный путь,Brewlok,IPA - Other,2024-05-03,3.699,,,,,6.5,,4
Day Before Lockdown,Zagovor Brewery,Sour - Fruited,2020-04-16,4.082,10.0,,,"Lactose,Cherry,Blueberry,Blackberry,Cinnamon",6.8,17.0,4
STAY PUFT,Magic Mess,Stout - Pastry,2022-11-06,3.954,,,,,6.0,,4
Eibauer Zwick'l Naturtrüb,Privatbrauerei Eibau i. Sa. GmbH,Kellerbier / Zwickelbier,,3.222,20.0,,,,5.2,12.0,3
Yakima IPA,Точка,IPA - American,2019-03-28,3.663,40.0,"Chinook,Cascade,Citra,Centennial",,,6.0,,3
Craft Pilsner,Belhaven Brewery,Pilsner - Other,2014-03-04,3.222,28.0,,,,4.8,,3
McFarland Traditional Red,Heineken,Red Ale - Irish,2012-10-27,3.114,,,,,5.6,,3
Prost,"Театр пива Правда,Brauerei Oerlikon",Pale Ale - New England / Hazy,2024-09-25,3.968,17.0,,,,4.4,,3
Be Urban,Крыніца,Lager - Pale,2023-03-24,2.599,,,,,4.2,10.0,3
Stackenschneider,Dreamteam Brew,Wheat Beer - Hefeweizen,2022-12-01,3.786,8.0,,,,5.2,,4
CRISPER,Бакунин,Sour - Fruited,2024-02-22,3.568,10.0,,,,6.0,,4
Ипатерапия,Alaska Brewery,IPA - Imperial / Double,2017-01-24,3.883,,,,,6.8,,4
На Юга светлое,Пивоварня Кожевниково,Lager - Pale,2024-03-17,2.928,,,,,4.0,,3
Jack L.,Rewort Brewery,Stout - Imperial / Double,2024-06-03,3.827,25.0,,,,6.8,,4
Baltika #5 Gold / Балтика #5 Золотое,Балтика,Lager - Pale,2010-08-21,2.952,10.0,,,,5.3,,3
Чехов. Том 1.,Brewlok,Porter - Other,2022-08-04,4.257,,,,,6.8,,4
MEAD ORANGE CHERRY,Василеостровская пивоварня,Mead - Melomel,2023-03-29,3.819,17.0,,,,6.0,,4
Gruut Bruin,Gentse Gruut Stadsbrouwerij,Historical Beer - Gruit / Ancient Herbed Ale,2011-11-24,3.384,,,,,6.8,,4
Knazenica,Brewlok,Wild Ale - Other,2024-01-26,4.195,,,,,6.9,,4
Baroque Era,Plague Brew,Historical Beer - Other,2024-06-03,3.788,10.0,,,,4.2,,4
Квас Хлебный,Medovarus,Kvass,2015-02-22,3.497,,,,,1.2,,4
Weissmuller Bayrisch Dunkel,Privatbrauerei M.C. Wieninger,Lager - Munich Dunkel,2023-04-30,3.463,,,,,5.0,,4
PESKI / ПЕСКИ,On the Bones,IPA - American,2024-06-04,3.664,60.0,,,,4.5,,4
Иван Кваснин Традиционный,Липецкпиво,Kvass,2015-07-31,3.277,,,,,1.2,,4
Cidre Royal Apple Cider Demi-Sec,Royal Fruit Garden,Cider - Traditional / Apfelwein,2021-07-24,3.596,,,,,5.0,,4
Плата Мимира,Традиции предков,Mead - Melomel,2023-10-17,3.964,,,,,4.7,,4
Халва с Дыней,Burning Brewery,Sour - Smoothie / Pastry,2023-12-10,3.531,,,,,5.5,,3
Churros with Aronia and Cherry,Burning Brewery,Sour - Smoothie / Pastry,2023-09-20,4.016,,,,,5.5,,4
Pécsi Prémium Lager,Pécsi Sörfőzde,Lager - Pale,2012-09-29,3.011,20.0,,,,5.0,,3
Кабачковая Икра с Чесноком,Burning Brewery,Sour - Tomato / Vegetable Gose,2024-01-15,3.608,,,,,5.5,,4
Karlovec Světlý Ležák,Měšťanský pivovar Havlíčkův Brod,Pilsner - Czech / Bohemian,2013-02-17,3.315,,,,,4.8,,4
