name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Creator the Tyler,Midnight Project,IPA - Imperial / Double Black,2023-07-28,4.067,60.0,"Cascade,Mosaic",,,6.8,,4
Cosmic Entity,Midnight Project,IPA - Imperial / Double New England / Hazy,2024-03-02,4.06,30.0,"El Dorado,Cashmere,Citra",,,6.8,,4
LIGHTNING STRIKE,Big Village Brewery,IPA - Triple,2024-01-11,4.031,100.0,,,,6.8,,4
Elephant Gym,Zagovor Brewery,IPA - Imperial / Double New England / Hazy,2023-12-22,4.096,40.0,,,,6.8,,4
Dom Numar Try,Malanka × Malanka Taproom,IPA - Triple New England / Hazy,2024-02-17,4.533,60.0,Citra,"Pilsner,Wheat,Flaked Oats,Flaked Wheat",,6.8,22.0,5
Tajfun: Motueka & Mosaic,Malanka,IPA - Imperial / Double New England / Hazy,2024-02-16,4.376,50.0,"Motueka,Mosaic","Pilsner,Wheat,Flaked Oats,Flaked Wheat",,6.8,19.3,4
If There's No Tomorrow,Bierbank,IPA - Imperial / Double New England / Hazy,2024-02-26,4.115,50.0,"Galaxy,Citra",,,6.8,,4
Mlosć: Idaho Gem,Malanka,Pale Ale - American,2024-02-23,4.141,60.0,Idaho Gem,Pilsner,,5.6,13.0,4
Lord of the Board,Midnight Project,Pale Ale - American,2024-02-15,3.967,35.0,,,,5.1,,4
Pošasć: Sabro,Malanka,IPA - Quadruple,2024-02-09,4.335,150.0,Sabro,Pilsner,,6.8,24.0,4
Pavietra: Citra,Malanka,Pale Ale - New England / Hazy,2024-02-09,4.21,30.0,Citra,"Pilsner,Wheat,Flaked Oats,Flaked Wheat",,5.6,15.0,4
Second Chance,Jungle Brewery,IPA - American,2024-02-12,4.099,55.0,"Warrior,Ahhhroma,Citra,Cascade",,,6.2,13.3,4
Tomatoni: Madras Curry,Jungle Brewery,Sour - Tomato / Vegetable Gose,2024-01-29,4.302,10.0,,,,5.0,13.0,4
Zweihander,Midnight Project,IPA - Imperial / Double,2024-02-02,4.017,70.0,"Citra,Idaho 7,HBC630",,,6.8,,4
Bring Back,Jungle Brewery,IPA - New England / Hazy,2023-12-29,4.257,35.0,"Sabro,Mosaic,Ahhhroma,Citra,Azacca",,,6.8,16.8,4
