name,brewery,style,release_date,rating,ibu,hops,malts,additives,alcohol,og,personal_rating
Cats & Dogs,Black Cat Brewery,Stout - Imperial / Double Pastry,2022-06-24,4.084,15.0,,,,6.8,,4
Vienna Lager,Copper Head,Lager - Vienna,2022-12-15,3.826,15.0,,,,4.8,,4
Железнодорожная вода,Alaska Brewery,Stout - Russian Imperial,2018-12-18,3.98,,,,,6.8,,4
Хёд,Традиции предков,Mead - Other,2024-02-01,3.902,,,,,4.7,,4
Эйяфьядлайёкюдль,Alaska Brewery,Porter - Imperial / Double,2017-06-21,3.925,,,,,6.8,23.0,4
Горгона,Chibis Brewery,IPA - New England / Hazy,2024-11-28,4.053,,,,,6.5,,4
Речицкое вишнёвое,Бабруйскі бровар,Fruit Beer,2024-09-18,3.433,,,,,6.4,,2
Abšar: Motueka,Malanka,IPA - White / Wheat,2024-11-27,4.447,40.0,Motueka,"Pilsner,Wheat,Flaked Wheat",,6.8,18.0,4
MÄHDRESCHER,Hops Brewery,Wheat Beer - Dunkelweizen,2024-12-04,3.474,7.0,,,,5.0,,4
VOID,Main Rule,Stout - Other,2024-11-07,4.114,,,,,6.8,,4
Turtle's Stout,Panzer Brewery,Stout - Oatmeal,2024-09-02,3.8,30.0,,,,5.0,,4
Fiesta,13 Litar,IPA - Session,2018-02-02,3.992,35.0,"Warrior,Simcoe,Mosaic,Amarillo","Pale Ale,Munich,Melanoidin",,5.2,12.0,3
Saĺsa: Boršč,Malanka,Sour - Tomato / Vegetable Gose,2024-12-18,4.288,,,"Pilsner,Wheat,Flaked Wheat","Beetroot,Onion,Black Pepper,Red Pepper,Bay Leaf,Coriander,Caraway",4.0,12.0,4
Munich Lager HAS Brew,HAS Brew,Lager - Helles,2024-10-23,3.813,15.0,,,,4.5,,4
Krush Bandicoot,Midnight Project,IPA - New England / Hazy,2024-12-20,4.209,25.0,,,,6.3,,4
Ad Astra,Malanka,IPA - New England / Hazy,2024-12-18,4.332,40.0,Mosaic,"Pilsner,Wheat,Flaked Wheat,Flaked Oats",,6.8,17.0,4
Egmont (Эгмонт),Brauning Bier,Dark Ale,2024-12-17,3.964,17.0,,,,5.8,,4
Decontrol: Cheesecake,Zagovor Brewery,Porter - Imperial / Double,2024-10-11,4.061,,,,,6.8,,4
Nektar Pivo,Banjalučka Pivara,Lager - Pale,2011-01-04,2.973,16.0,,,,5.0,,3
Petrus Blond,Brouwerij De Brabandere,Belgian Blonde,2010-08-21,3.347,,,,,6.5,,4
Омерзительные Восемь,Midnight Project,Pale Ale - American,2024-09-01,,37.0,,,,5.3,,4
Krush One Love,Jungle Brewery,IPA - Session,2024-12-02,4.341,40.0,Krush,,,5.0,12.7,4
Сон Хроноса / Chronos' Dream,"Чаща,Punchiller,ID-Cooling",IPA - Cold,2024-10-16,3.977,45.0,,,,6.0,,4
小島さんは鬼才です。,Midnight Project,Lager - Japanese Rice,2024-11-29,3.881,10.0,,,,4.6,,4
Reverse Tinkerbell 13,Delta Ksi,Strong Ale - Other,2024-12-05,4.01,30.0,,,,6.9,20.0,4
Alcohol Free Cider,Mac Ivors Cider,Cider - Dry,2020-02-20,3.732,,,,,0.5,,3
Replica: Superdelic,Zagovor Brewery,IPA - New England / Hazy,2024-11-27,4.149,30.0,,,,6.5,,4
#800,Plan B Brewery,Barleywine - Other,2024-07-22,4.074,,,,,6.8,,4
Banjalučko Pivo,Banjalučka Pivara,Lager - Pale,2020-06-14,2.968,,,,,4.6,,3
Maple Ganache,Stamm Brewing,Stout - Imperial / Double Pastry,2024-08-22,4.196,,,,,6.8,,4
Zwickelbier,BARBARUS Brewery,Kellerbier / Zwickelbier,2020-08-15,3.714,15.0,,,,4.0,,4
Збитень Mog.Nat. Zero,Могилевоблпищепром (Mogilevoblpischeprom),Non-Alcoholic Mead,2024-08-02,,,,,,,,2
Hopstorm,Beaver,IPA - American,2024-10-29,3.678,70.0,,,,6.8,,4
Quiet Hunt,Rewort Brewery,Sour - Other Gose,2023-11-04,3.335,10.0,,,,6.5,,4
Brain Buster,Rewort Brewery,Sour - Tomato / Vegetable Gose,2024-09-19,3.979,,,,,6.0,,4
Spectral Elixir,Midnight Project,Pale Ale - New England / Hazy,2024-11-29,4.141,20.0,,,,4.8,,4
Збитень Ржаной,КвасКо Боттлерз,Mead - Other,2015-07-11,3.268,,,,,4.5,,3
Blackcurrant Crush,Bierstaat,Fruit Beer,2024-11-04,3.9,,,,,5.5,,4
Charnica (Чарніца),Пан Качын,Mead - Melomel,2024-11-11,4.043,,,,,6.0,,4
