Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Gaelic Ale,,Highland Brewing Company,5.5% ABV,30 IBU,3.627
Chouffe Soleil,,Brasserie d'Achouffe,6% ABV,20 IBU,3.565
Burning River Pale Ale,,Great Lakes Brewing Company,6% ABV,45 IBU,3.53
Back in Black,,21st Amendment Brewery,6.8% ABV,65 IBU,3.734
Hitachino Nest White Ale,,Kiuchi Brewery,5.5% ABV,13 IBU,3.619
Grapefruit Shandy,,Jacob Leinenkugel Brewing Company,4.2% ABV,14 IBU,3.435
Blue Paw Wild Blueberry,,Sea Dog Brewing Company,4.7% ABV,8 IBU,3.615
Jubelale,,Deschutes Brewery,6.7% ABV,65 IBU,3.583
Romantic Chemistry,,Dogfish Head Craft Brewery,7.2% ABV,40 IBU,3.777
Lizard King,,Pipeworks Brewing Company,6% ABV,36 IBU,3.966
Blood Orange Brew Free! or Die,,21st Amendment Brewery,7% ABV,70 IBU,3.772
London Porter,,Fuller's Griffin Brewery,5.4% ABV,37 IBU,3.676
Voodoo Ranger Atomic Pumpkin,,New Belgium Brewing Company,6.4% ABV,10 IBU,3.61
8 Point American IPA,,Devils Backbone Brewing Company,6.2% ABV,N/A IBU,3.574
Nelson,,Alpine Beer Company,7% ABV,40 IBU,4.054
Vuur & Vlam,,Brouwerij de Molen,6.2% ABV,63 IBU,3.583
Hop Ottin' IPA,,Anderson Valley Brewing Company,7% ABV,80 IBU,3.553
Headwaters Ale,,Victory Brewing Company,5.2% ABV,45 IBU,3.552
Floridian,,Funky Buddha Brewery,5.2% ABV,12 IBU,3.597
MO,,Maine Beer Company,6% ABV,N/A IBU,4.008
Amstel Light,,Amstel Bier,3.5% ABV,N/A IBU,2.709
Midas Touch,,Dogfish Head Craft Brewery,9% ABV,12 IBU,3.783
Another One,,Maine Beer Company,7% ABV,N/A IBU,4.109
Original Alcoholic Ginger Beer,,John Crabbie & Co,4.8% ABV,N/A IBU,3.457
Cali Creamin’,,Mother Earth Brewing Company,5% ABV,20 IBU,3.791
Briney Melon Gose,,Anderson Valley Brewing Company,4.2% ABV,12 IBU,3.764
Bumble Berry Honey Blueberry Ale,,Fat Head's Brewery,5.3% ABV,13 IBU,3.69
Brooklyn Brown Ale,,Brooklyn Brewery,5.6% ABV,30 IBU,3.508
Even More Jesus,,Evil Twin Brewing,12% ABV,75 IBU,4.101
Paulaner Oktoberfest Bier,,Paulaner Brauerei,6% ABV,N/A IBU,3.545
Mc Chouffe,,Brasserie d'Achouffe,8% ABV,20 IBU,3.642
Invasion®,,Cigar City Brewing®,5% ABV,36 IBU,3.704
La 150° Bionda,,G. Menabrea & Figli,4.8% ABV,20 IBU,3.224
Sumatra Mountain Brown,,Founders Brewing Co.,9% ABV,40 IBU,4.054
Grevensteiner Original Naturtrübes Landbier,,Brauerei VELTINS,5.2% ABV,23 IBU,3.424
Ghost Ship,,Adnams,4.5% ABV,40 IBU,3.49
Homestyle,,Bearded Iris Brewing,6% ABV,N/A IBU,4.001
White Oak Jai Alai®,,Cigar City Brewing®,7.5% ABV,70 IBU,4.001
Philadelphia Pale Ale,,Yards Brewing Co.,4.6% ABV,37 IBU,3.541
Oude Geuze Boon,,Brouwerij Boon,7% ABV,22 IBU,3.381
Aunt Sally,,Lagunitas Brewing Company,5.7% ABV,33 IBU,3.646
Gose,,Westbrook Brewing Co.,4% ABV,5 IBU,3.918
Extra Pale Ale (EPA),,Summit Brewing Company,5.2% ABV,45 IBU,3.556
Sunday Morning Stout,,Weyerbacher Brewing Company,12.7% ABV,46 IBU,4.147
Gouden Carolus Christmas / Noël,,Brouwerij Het Anker,10.5% ABV,11 IBU,3.612
Hibernation Ale,,Great Divide Brewing Company,8.7% ABV,50 IBU,3.653
Busch Beer,,Anheuser-Busch,4.7% ABV,N/A IBU,2.46
Citra Ass Down,,Against the Grain Brewery,8.2% ABV,68 IBU,3.891
Apple Ale,,Redd's Brewing Company,5% ABV,10 IBU,3.121
Wild Turkey Bourbon Barrel Stout,,Anderson Valley Brewing Company,6.9% ABV,14 IBU,3.869
Wit,,Brouwerij St.Bernardus,5.5% ABV,15 IBU,3.584
The Truth,,Flying Dog Brewery,8.7% ABV,80 IBU,3.814
Edelstoff,,Augustiner-Bräu München,5.6% ABV,17 IBU,3.619
Edward,,Hill Farmstead Brewery,5.2% ABV,65 IBU,4.244
Guinness Foreign Extra Stout,,Guinness,7.5% ABV,47 IBU,3.66
Heineken 0.0,,Heineken,N/A ABV,N/A IBU,2.434
Filou,,Kasteel Brouwerij Vanhonsebrouck,8.5% ABV,35 IBU,3.529
Sea Hag IPA,,New England Brewing Co.,6.2% ABV,65 IBU,3.819
Citrusinensis,,Lagunitas Brewing Company,7.7% ABV,49 IBU,3.865
New DogTown Pale Ale,,Lagunitas Brewing Company,6.2% ABV,62 IBU,3.653
Hop Knife Harvest,,Tröegs Independent Brewing,6.2% ABV,87 IBU,3.791
Tripel,,Hertog Jan,8.5% ABV,22 IBU,3.644
Deviant Dale's®,,Oskar Blues Brewery®,8% ABV,85 IBU,3.881
Bombardier Amber Beer/Premium British Ale (Glorious English Ale),,Eagle Brewery (formerly Charles Wells),4.1% ABV,35 IBU,3.422
Mosaic IPA,,Community Beer Company,8.6% ABV,85 IBU,3.845
Maredsous Blonde / Blond,,Abbaye de Maredsous,6.5% ABV,N/A IBU,3.519
HopBack Amber Ale,,Tröegs Independent Brewing,6% ABV,55 IBU,3.587
Bel Air Sour,,Brooklyn Brewery,5.8% ABV,14 IBU,3.576
Pranqster,,North Coast Brewing Company,7.6% ABV,20 IBU,3.753
Ellie's Brown Ale,,Avery Brewing Co.,5.5% ABV,28 IBU,3.622
Icelandic Arctic Pale Ale,,Einstök Ölgerð,5.6% ABV,N/A IBU,3.526
Tongerlo Blond - Blonde,,Brouwerij Haacht Brasserie,6% ABV,20 IBU,3.509
Hoponius Union,,Jack's Abby Craft Lagers,6.5% ABV,65 IBU,3.797
Agave Wheat,,Breckenridge Brewery,4.4% ABV,13 IBU,3.505
Zundert 8,,Trappistenbrouwerij de Kievit B.V.,8% ABV,34 IBU,3.656
Barrel-Aged Ten FIDY®,,Oskar Blues Brewery®,12.5% ABV,75 IBU,4.357
Crusher,,The Alchemist,8% ABV,110 IBU,4.34
75 Minute IPA,,Dogfish Head Craft Brewery,7.5% ABV,75 IBU,3.968
Summer Honey Wheat,,Blue Moon Brewing Company,5.2% ABV,15 IBU,3.317
Nosferatu Imperial Red IPA,,Great Lakes Brewing Company,8% ABV,70 IBU,3.799
Lil' Heaven Crushable IPA,,Two Roads Brewing Company,4.8% ABV,N/A IBU,3.663
Ace Pineapple Cider,,Ace Cider (The California Cider Company),5% ABV,N/A IBU,3.79
Blue,,SweetWater Brewing Company,4.6% ABV,10 IBU,3.535
Cream Ale,,Genesee Brewing Company,5.2% ABV,9 IBU,3.027
IPA,,Columbus Brewing Company,6.3% ABV,60 IBU,3.764
Harvest Patch Shandy,,Jacob Leinenkugel Brewing Company,4.2% ABV,11 IBU,3.445
Witte,,Brewery Ommegang,5.2% ABV,11 IBU,3.657
Abrasive Double IPA,,Surly Brewing Company,9.2% ABV,100 IBU,4.2
Brawler,,Yards Brewing Co.,4.2% ABV,12 IBU,3.555
Post Road Pumpkin Ale,,Brooklyn Brewery,5% ABV,24 IBU,3.298
Hapkin,,Brouwerij Alken-Maes,8.5% ABV,29 IBU,3.501
IPA,,Lakefront Brewery,6.7% ABV,50 IBU,3.642
Alfa (Aλφα) Beer,,Athenian Brewery,5% ABV,N/A IBU,2.968
Night Time Ale,,Lagunitas Brewing Company,8.2% ABV,65 IBU,3.834
Prime Pale,,Meantime Brewing Company,4.3% ABV,37 IBU,3.339
Merry Monks,,Weyerbacher Brewing Company,9.3% ABV,15 IBU,3.788
FAITH™ // HAZY PALE ALE,,Northern Monk,5% ABV,30 IBU,3.736
RecreationAle,,Terrapin Beer Co.,4.2% ABV,34 IBU,3.565
Pure Hoppiness,,Alpine Beer Company,8% ABV,61 IBU,4.022
Summer Solstice,,Anderson Valley Brewing Company,5% ABV,5 IBU,3.551
Blanche de Chambly,,Unibroue,5% ABV,10 IBU,3.662
Grimbergen Tripel / Triple,,Brouwerij Alken-Maes,9% ABV,5 IBU,3.635
A Little Sumpin' Extra! Ale,,Lagunitas Brewing Company,8.7% ABV,72 IBU,3.982
The Waldos' Special Ale,,Lagunitas Brewing Company,11.7% ABV,100 IBU,4.052
Apocalyptic Thunder Juice,,Amundsen Brewery,6.5% ABV,50 IBU,3.742
Spitfire Amber Kentish Ale,,Shepherd Neame,4.5% ABV,36 IBU,3.252
Tribute,,St Austell Brewery,4.2% ABV,35 IBU,3.466
Chocolate Bock,,Samuel Adams,5.8% ABV,11 IBU,3.57
Cidre,,Stella Artois,4.5% ABV,10 IBU,3.442
.394 Pale Ale,,AleSmith Brewing Company,6% ABV,26 IBU,3.786
Rebel Grapefruit IPA,,Samuel Adams,6.3% ABV,52 IBU,3.454
Joe IPA,,10 Barrel Brewing Co.,6.9% ABV,70 IBU,3.746
Swami's IPA,,Pizza Port Brewing Company,6.8% ABV,72 IBU,3.827
Budweiser Select,,Anheuser-Busch,4.3% ABV,11 IBU,2.542
Winter Solstice,,Anderson Valley Brewing Company,6.9% ABV,5 IBU,3.642
Imperial Pumpkin Ale,,Weyerbacher Brewing Company,8% ABV,21 IBU,3.763
Colette Farmhouse Ale,,Great Divide Brewing Company,7.3% ABV,35 IBU,3.599
Petrus Red,,Brouwerij De Brabandere,8.5% ABV,20 IBU,3.606
White Rajah,,The Brew Kettle,6.8% ABV,70 IBU,3.987
Switchback Ale,,Switchback Brewing Company,5% ABV,28 IBU,3.629
Boat Beer,,Carton Brewing Company,4.2% ABV,35 IBU,3.721
Hopfenweisse (TAP05),,Schneider Weisse G. Schneider & Sohn,8.2% ABV,40 IBU,3.786
Rebel Rouser,,Samuel Adams,8.4% ABV,85 IBU,3.585
Funky Falcon,,Two Chefs Brewing,5.2% ABV,25 IBU,3.505
Grimbergen Double Ambrée,,Kronenbourg Brewery,6.5% ABV,22 IBU,3.467
Brahma Chopp,,AmBev,4.8% ABV,10 IBU,2.713
Rainier,,Pabst Brewing Company,4.6% ABV,10 IBU,3.029
Cinnamon Horchata Ale,,Blue Moon Brewing Company,5.5% ABV,10 IBU,3.438
Nut Brown Ale,,Samuel Smith,5% ABV,30 IBU,3.599
Koko Brown,,Kona Brewing Hawaii,5.5% ABV,28 IBU,3.658
4 Luppoli Originale,,Birrificio Angelo Poretti,5% ABV,22 IBU,3.119
Brugse Zot Dubbel,,Brouwerij De Halve Maan,7.5% ABV,27 IBU,3.534
Curmudgeon Old Ale,,Founders Brewing Co.,9.8% ABV,50 IBU,3.837
Conehead,,Zero Gravity Craft Brewery,5.7% ABV,49 IBU,3.808
80-Acre Hoppy Wheat Beer,,Boulevard Brewing Co.,5.5% ABV,20 IBU,3.609
Boont Amber Ale,,Anderson Valley Brewing Company,5.8% ABV,15 IBU,3.512
Tegernseer Hell,,Herzoglich Bayerisches Brauhaus Tegernsee,4.8% ABV,14 IBU,3.629
Pipeline Porter,,Kona Brewing Hawaii,5.3% ABV,23 IBU,3.676
Alhambra Reserva 1925,,Grupo Cervezas Alhambra,6.4% ABV,25 IBU,3.357
Alien Church,,Tired Hands Brewing Company,7% ABV,25 IBU,4.215
Wake-n-Bake Coffee Oatmeal Imperial Stout,,Terrapin Beer Co.,9.4% ABV,50 IBU,4.025
Greene King IPA,,Greene King,3.6% ABV,24 IBU,2.835
Alexander Keith's India Pale Ale,,Oland Brewery / A. Keith's Brewery,5% ABV,20 IBU,3.037
Reef Donkey,,Tampa Bay Brewing Company,5.5% ABV,36 IBU,3.686
Abbey Ale,,Brewery Ommegang,8.2% ABV,20 IBU,3.795
Tart 'n Juicy,,Epic Brewing Company,5.1% ABV,60 IBU,3.728
Twilight Summer Ale,,Deschutes Brewery,5% ABV,38 IBU,3.516
Fireside Chat,,21st Amendment Brewery,7.9% ABV,45 IBU,3.633
Original Pale Ale,,Coopers,4.5% ABV,24 IBU,3.214
Hansa Pilsner,,Hansa Borg Bryggerier,4.7% ABV,22 IBU,2.93
Corsendonk Agnus Tripel / Abbey Pale Ale,,Brouwerij Corsendonk,7.5% ABV,30 IBU,3.631
Summerfest,,Sierra Nevada Brewing Co.,5% ABV,28 IBU,3.482
Hoppy Birthday,,Alpine Beer Company,5.25% ABV,60 IBU,3.857
GoneAway,,Half Acre Beer Company,7.1% ABV,60 IBU,3.921
Tripel,,Allagash Brewing Company,9% ABV,18 IBU,3.872
Ichabod,,New Holland Brewing,4.5% ABV,26 IBU,3.512
Achel Tripel,,De Achelse Kluis,8% ABV,20 IBU,3.672
Indie,,BrewDog,4.2% ABV,30 IBU,3.17
Rosetta,,Brewery Ommegang,5.6% ABV,9 IBU,3.838
A Ship Full of IPA,,Brutal Brewing,5.8% ABV,40 IBU,3.393
Old Brown Dog Ale,,Smuttynose Brewing Co.,6.5% ABV,30 IBU,3.618
Canoe Paddle Kölsch,,Jacob Leinenkugel Brewing Company,5% ABV,11 IBU,3.328
Aventinus Eisbock (TAP09),,Schneider Weisse G. Schneider & Sohn,12% ABV,15 IBU,3.798
Astra Urtyp / Premium,,Holsten-Brauerei AG,4.9% ABV,28 IBU,3.072
Victoria,,AB InBev Belgium,8.5% ABV,33 IBU,3.399
Seef Bier,,Antwerpse Brouw Compagnie,6.5% ABV,17 IBU,3.526
Leffe Rituel 9°,,Abbaye de Leffe,9% ABV,25 IBU,3.64
Pedigree,,Marston's Brewery,4.5% ABV,N/A IBU,3.068
Cranberry Ginger Shandy,,Jacob Leinenkugel Brewing Company,4.2% ABV,11 IBU,3.296
Icy Bay,,Alaskan Brewing Co.,6.2% ABV,65 IBU,3.573
Karakter,,Hertog Jan,7.5% ABV,21 IBU,3.508
Firemans #4,,Real Ale Brewing Company,5.1% ABV,23 IBU,3.478
Bodhizafa,,Georgetown Brewing Company,6.9% ABV,80 IBU,3.96
Kriek Lambic,,Brouwerij Mort Subite,4% ABV,N/A IBU,3.496
Chimay Dorée (Gold),,Bières de Chimay,4.8% ABV,16 IBU,3.554
Big Daddy IPA,,Speakeasy Ales & Lagers,6.5% ABV,60 IBU,3.593
Honeycrisp Apple Wheat,,Shock Top Brewing Co.,5.2% ABV,N/A IBU,3.271
Fist City,,Revolution Brewing,5.5% ABV,45 IBU,3.77
Orange Shandy,,Jacob Leinenkugel Brewing Company,4.2% ABV,11 IBU,3.311
Sawtooth Ale,,Left Hand Brewing Company,5.3% ABV,27 IBU,3.516
Long Trail Ale,,Long Trail Brewing Company,5% ABV,28 IBU,3.456
Piraat Triple Hop,,Brouwerij Van Steenberge,10.5% ABV,65 IBU,3.53
Inedit Damm,,Damm,4.8% ABV,11 IBU,3.497
Maudite,,Unibroue,8% ABV,22 IBU,3.778
Corsendonk Pater Dubbel / Abbey Brown Ale,,Brouwerij Corsendonk,7.5% ABV,23 IBU,3.54
Riverwest Stein,,Lakefront Brewery,5.6% ABV,24 IBU,3.612
Trois Pistoles,,Unibroue,9% ABV,16 IBU,3.865
HopStorm® IPA,,BJ's Restaurant & Brewhouse,6.5% ABV,65 IBU,3.548
Beer Geek Breakfast,,Mikkeller,7.5% ABV,N/A IBU,3.879
Harvest Ale,,Founders Brewing Co.,7.6% ABV,70 IBU,3.934
Faxe Premium,,Royal Unibrew,5% ABV,N/A IBU,2.979
The Sixth Glass,,Boulevard Brewing Co.,10.2% ABV,22 IBU,3.882
ESB,,Redhook Brewery,5.8% ABV,28 IBU,3.439
Life & Death,,Vocation Brewery,6.5% ABV,N/A IBU,3.741
Old Man Winter Ale,,Southern Tier Brewing Company,7.5% ABV,57 IBU,3.509
Ichnusa Anima Sarda,,Ichnusa,4.7% ABV,N/A IBU,2.967
Woodchuck Amber Hard Cider,,Woodchuck Cidery,5% ABV,N/A IBU,3.472
Maneblusser,,Brouwerij Het Anker,5.8% ABV,20 IBU,3.457
Kentucky Vanilla Barrel Cream Ale,,Lexington Brewing & Distilling Co.,5.5% ABV,22 IBU,3.857
Consecration,,Russian River Brewing Company,10% ABV,10 IBU,4.305
Tasty Juice,,LERVIG,6% ABV,45 IBU,3.87
Hopscape,,Samuel Adams,5.5% ABV,30 IBU,3.481
Pale Ale,,Founders Brewing Co.,5.4% ABV,35 IBU,3.543
Fantasy Factory,,Karben⁴ Brewing,6.3% ABV,65 IBU,3.846
reDANKulous,,Founders Brewing Co.,9.5% ABV,90 IBU,3.967
Northern Lights,,Starr Hill Brewery,6.2% ABV,55 IBU,3.549
Erdinger Alkoholfrei,,Erdinger Weissbräu,0.4% ABV,17 IBU,2.889
Fistmas,,Revolution Brewing,6.5% ABV,31 IBU,3.679
Radio the Mothership,,Collective Arts Brewing,8.5% ABV,100 IBU,3.737
Harvest Autumn IPA,,Southern Tier Brewing Company,6.7% ABV,55 IBU,3.533
Maes Pils,,Brouwerij Alken-Maes,5.2% ABV,15 IBU,2.853
Camp Wannamango,,Harpoon Brewery,5% ABV,22 IBU,3.638
Nanny State,,BrewDog,0.5% ABV,45 IBU,2.695
Lupulus Blonde,,Brasserie Lupulus,8.5% ABV,27 IBU,3.602
Orange Ave. Wit,,Coronado Brewing Company,5.2% ABV,15 IBU,3.555
Blazing World,,Modern Times Beer,6.8% ABV,60 IBU,3.795
Maredsous Brune / Bruin,,Abbaye de Maredsous,8% ABV,24 IBU,3.614
Cherry Chouffe,,Brasserie d'Achouffe,8% ABV,10 IBU,3.489
Apex Predator,,Off Color Brewing,6.5% ABV,46 IBU,3.823
Lucky 13 (Mondo Large Red Ale),,Lagunitas Brewing Company,8.8% ABV,77 IBU,3.834
Saison,,Brasserie St-Feuillien,6.5% ABV,28 IBU,3.551
La Rossa / Malto Brunito,,Birra Moretti,7.2% ABV,16 IBU,3.4
Wolf Among Weeds,,Golden Road Brewing,8% ABV,80 IBU,3.857
Coffee Bender,,Surly Brewing Company,5.1% ABV,N/A IBU,3.911
Simtra Triple IPA,,Knee Deep Brewing Company,11.25% ABV,131 IBU,4.113
Bikini Blonde Lager,,Maui Brewing Company,4.8% ABV,18 IBU,3.507
Wainwright The Golden Beer,,Marston's Brewery,4.1% ABV,N/A IBU,3.279
Whale's Tale Pale Ale,,Cisco Brewers,5.6% ABV,40 IBU,3.444
Bourbon Barrel-Aged Arrogant Bastard,,Arrogant Consortia,8.1% ABV,100 IBU,3.857
Manny's Pale Ale,,Georgetown Brewing Company,5.4% ABV,38 IBU,3.613
Alfa Edel Pils,,Alfa Bierbrouwerij,5% ABV,23 IBU,3.259
Natte,,Brouwerij 't IJ,6.5% ABV,22 IBU,3.385
Domaine DuPage,,Two Brothers Brewing Company,6.2% ABV,24 IBU,3.601
Le Freak,,Green Flash Brewing Company,9.2% ABV,101 IBU,3.778
Abbot Ale,,Greene King,5% ABV,50 IBU,3.293
Taddy Porter,,Samuel Smith,5% ABV,32 IBU,3.667
California Kölsch,,Ballast Point Brewing Company,5.2% ABV,23 IBU,3.47
Trackdown,,Uiltje Brewing Company,5.5% ABV,14 IBU,3.584
Kentucky Coffee Barrel Stout,,Lexington Brewing & Distilling Co.,8% ABV,18 IBU,3.749
All Citra Everything,,Other Half Brewing Co.,8.5% ABV,N/A IBU,4.38
Chocolate Stout,,Rogue Ales,5.8% ABV,69 IBU,3.808
Barney Flats Oatmeal Stout,,Anderson Valley Brewing Company,5.7% ABV,14 IBU,3.615
Red Trolley Ale,,Karl Strauss Brewing Company,5.8% ABV,17 IBU,3.605
The Shape of Hops to Come,,Neshaminy Creek Brewing Company,8.5% ABV,98 IBU,3.974
Tropic Thunder,,Dugges Bryggeri,4.5% ABV,N/A IBU,3.827
Murphy's Irish Red,,Heineken Ireland,5.2% ABV,N/A IBU,3.288
Pale Ale,,Boulevard Brewing Co.,5.4% ABV,30 IBU,3.555
Sunset Wheat,,Jacob Leinenkugel Brewing Company,4.9% ABV,14 IBU,3.524
Art Car IPA,,Saint Arnold Brewing Company,7.2% ABV,55 IBU,3.772
Avec Les Bons Vœux,,Brasserie Dupont,9.5% ABV,28 IBU,3.803
Idiot IPA,,Coronado Brewing Company,8.5% ABV,90 IBU,3.771
Lucky Jack,,LERVIG,4.7% ABV,45 IBU,3.497
Sunshine Daydream,,Fat Head's Brewery,4.9% ABV,50 IBU,3.716
Norm's Raggedy Ass IPA,,Griffin Claw Brewing Company,7.2% ABV,65 IBU,3.763
Relax [it's just a hazy IPA],,Offshoot Beer Co.,6.8% ABV,N/A IBU,3.969
Abraxas,,Perennial Artisan Ales,11.5% ABV,80 IBU,4.405
African Amber,,Mac & Jack's Brewing Company,5.8% ABV,30 IBU,3.71
Calm Before The Storm,,Ballast Point Brewing Company,5.5% ABV,15 IBU,3.808
Fortunate Islands,,Modern Times Beer,5% ABV,40 IBU,3.768
HopHands,,Tired Hands Brewing Company,5.5% ABV,45 IBU,4.008
Brooklyn Blast!,,Brooklyn Brewery,8.4% ABV,53 IBU,3.802
Stone Mocha IPA,,Stone Brewing,9% ABV,80 IBU,3.97
La Folie,,New Belgium Brewing Company,6.5% ABV,18 IBU,3.941
Honeyspot Road IPA,,Two Roads Brewing Company,6% ABV,55 IBU,3.619
Averbode,,Huisbrouwerij Averbode,7.5% ABV,34 IBU,3.569
Wild Sour Series: Here Gose Nothin',,DESTIHL Brewery,5.2% ABV,12 IBU,3.73
LeFort,,Omer Vander Ghinste,10% ABV,18 IBU,3.62
Down to Earth,,21st Amendment Brewery,4.4% ABV,42 IBU,3.669
White,,Alaskan Brewing Co.,5.3% ABV,15 IBU,3.536
Pineapple Mana Wheat,,Maui Brewing Company,5.5% ABV,18 IBU,3.636
Pistonhead Kustom Lager,,Brutal Brewing,4.9% ABV,27 IBU,3.104
IPA,,Westbrook Brewing Co.,6.8% ABV,35 IBU,3.754
Pumpkin,,UFO Beer,5.9% ABV,20 IBU,3.576
Paulaner Hefe-Weißbier Dunkel,,Paulaner Brauerei,5.3% ABV,12 IBU,3.549
Amstel Radler 2.0 Citroen,,Amstel Bier,2% ABV,N/A IBU,3.125
Pumpkin Wheat,,Shock Top Brewing Co.,5.1% ABV,N/A IBU,3.159
Alexander,,Brouwerij Rodenbach,5.6% ABV,9 IBU,3.962
La Goudale - Blonde à l'Ancienne,,Brasserie Goudale - Les Brasseurs de Gayant,7.2% ABV,28 IBU,3.438
Adriaan Wit,,Jopen,5% ABV,12 IBU,3.451
Rainbow Sherbet,,Prairie Artisan Ales,5.2% ABV,N/A IBU,3.961
Super Session IPA #2 (Amarillo),,Lawson's Finest Liquids,4.8% ABV,N/A IBU,4.021
Pistonhead Flat Tire,,Brutal Brewing,4.5% ABV,26 IBU,3.254
Somersby Apple Cider,,Carlsberg Group,4.5% ABV,2 IBU,3.293
Devil's Backbone,,Real Ale Brewing Company,8.1% ABV,35 IBU,3.695
World Wide Stout,,Dogfish Head Craft Brewery,18% ABV,70 IBU,4.232
Bockbier,,Hertog Jan,6.5% ABV,23 IBU,3.485
Hi-Res,,Sixpoint Brewery,11.1% ABV,115 IBU,4.055
Ruedrich's Red Seal Ale,,North Coast Brewing Company,5.4% ABV,42 IBU,3.501
Val-Dieu Triple,,Brasserie de l'Abbaye du Val-Dieu,9% ABV,20 IBU,3.672
Fancy Lawnmower,,Saint Arnold Brewing Company,4.9% ABV,20 IBU,3.533
Amazing Haze,,Stigbergets Bryggeri,6.5% ABV,80 IBU,3.874
Drumroll,,Odell Brewing Co.,5.3% ABV,42 IBU,3.751
Imperial Stout,,Samuel Smith,7% ABV,35 IBU,3.731
Christmas Bomb!,,Prairie Artisan Ales,13% ABV,65 IBU,4.105
Winter Lager,,Samuel Adams,5.6% ABV,22 IBU,3.532
Old Engine Oil,,Harviestoun Brewery,6% ABV,40 IBU,3.734
Xtra,,Surly Brewing Company,4.5% ABV,N/A IBU,3.745
Gouden Carolus Hopsinjoor,,Brouwerij Het Anker,8% ABV,30 IBU,3.593
Fresh as Helles,,Samuel Adams,5.4% ABV,18 IBU,3.458
Wanderlust IPA,,Breakside Brewery,6.5% ABV,64 IBU,3.896
Citra,,Oakham Ales,4.2% ABV,N/A IBU,3.622
Leffe Ruby,,Abbaye de Leffe,5% ABV,10 IBU,3.178
Karhu III,,Sinebrychoff,4.6% ABV,16 IBU,2.837
Barrel-Aged Narwhal,,Sierra Nevada Brewing Co.,11.9% ABV,50 IBU,4.188
Dirty Blonde,,Atwater Brewery,4.5% ABV,8 IBU,3.527
Corona Premier,,Grupo Modelo,4% ABV,7 IBU,2.951
Third Shift - Amber Lager,,Coors Brewing Company,5.3% ABV,21 IBU,3.045
Last Snow,,Funky Buddha Brewery,6.4% ABV,35 IBU,4.295
Ongelovige Thomas / Doubting Thomas,,Jopen,10% ABV,40 IBU,3.655
Sticky Toffee Pudding Ale,,Eagle Brewery (formerly Charles Wells),5% ABV,N/A IBU,3.446
Pale Ale,,Little Creatures Brewing,5.1% ABV,36 IBU,3.575
Red Oak,,Red Oak Brewery,5% ABV,18 IBU,3.729
Hopalicious,,Ale Asylum,5.7% ABV,52 IBU,3.738
Pale Ale,,Omission Brewing,5.8% ABV,33 IBU,3.255
Passion Fruit Kicker,,Green Flash Brewing Company,5.5% ABV,5 IBU,3.623
Shakespeare Oatmeal Stout,,Rogue Ales,5.7% ABV,60 IBU,3.718
Pennsylvania Tuxedo,,Dogfish Head Craft Brewery,8.5% ABV,50 IBU,3.784
O'Hara's Irish Pale Ale,,O'Hara's Brewery,5.2% ABV,45 IBU,3.427
Mischief,,The Bruery,8.5% ABV,35 IBU,3.796
Pumpkin Down,,Ballast Point Brewing Company,5.8% ABV,22 IBU,3.722
Aloha Sculpin,,Ballast Point Brewing Company,7% ABV,70 IBU,3.775
Fruitlands,,Modern Times Beer,4.8% ABV,17 IBU,3.816
a tiny beautiful something,,Maine Beer Company,5.5% ABV,N/A IBU,3.94
Mocha Porter,,Rogue Ales,5.6% ABV,47 IBU,3.591
O'Hara's Irish Red,,O'Hara's Brewery,4.3% ABV,25 IBU,3.301
Honey Weiss,,Jacob Leinenkugel Brewing Company,4.9% ABV,14 IBU,3.285
VanderGhinste Roodbruin,,Omer Vander Ghinste,5.5% ABV,15 IBU,3.664
Vallejo,,Half Acre Beer Company,6.7% ABV,68 IBU,3.894
Dead Rise Old Bay Summer Ale,,Flying Dog Brewery,5.6% ABV,25 IBU,3.446
Glorious,,Lord Hobo Brewing Co.,6.5% ABV,72 IBU,3.829
Bush Caractère,,Brasserie Dubuisson,12% ABV,25 IBU,3.618
Even Keel,,Ballast Point Brewing Company,3.8% ABV,51 IBU,3.643
Trappist Westvleteren 8,,Brouwerij De Sint-Sixtusabdij van Westvleteren,8% ABV,35 IBU,4.195
12 Dogs of Christmas Ale,,Thirsty Dog Brewing Company,8.3% ABV,21 IBU,3.821
Val-Dieu Blonde,,Brasserie de l'Abbaye du Val-Dieu,6% ABV,18 IBU,3.448
Juicy Ass,,Flying Monkeys Craft Brewery,6.5% ABV,69 IBU,3.75
Life,,Lord Hobo Brewing Co.,4.5% ABV,74 IBU,3.719
Clementine,,Clown Shoes,5% ABV,20 IBU,3.465
Whitewater IPA,,Samuel Adams,5.8% ABV,60 IBU,3.297
Sleepy Bulldog Pale Ale,,Gotlands Bryggeri,4.8% ABV,40 IBU,3.402
Poperings Hommelbier,,Leroy Breweries,7.5% ABV,35 IBU,3.455
Michelob Golden Light,,Anheuser-Busch,4.1% ABV,N/A IBU,2.831
Delirium Argentum,,Delirium - Huyghe Brewery,7% ABV,48 IBU,3.602
Xingu Black Beer,,Cervejas Premium do Brasil Ltda,4.6% ABV,20 IBU,3.446
Strawberry Lemonade Naturdays,,Anheuser-Busch,4.2% ABV,N/A IBU,3.237
Santa's Private Reserve Ale (2019),,Rogue Ales,8.1% ABV,20 IBU,3.427
