Пиво,Пивоварня,Стиль,ABV,IBU,Рейтинг
Hopslam Ale,,Bell's Brewery,10% ABV,65 IBU,4.262
Black Butte Porter,,Deschutes Brewery,5.5% ABV,30 IBU,3.809
Orval,,Brasserie d'Orval,6.2% ABV,36 IBU,3.687
Brooklyn East IPA,,Brooklyn Brewery,6.9% ABV,47 IBU,3.5
Amstel,,Amstel Bier,5% ABV,21 IBU,2.872
Christmas Ale,,Great Lakes Brewing Company,7.5% ABV,30 IBU,3.789
Sucks,,Lagunitas Brewing Company,8% ABV,63 IBU,3.959
Harpoon IPA,,Harpoon Brewery,6% ABV,42 IBU,3.503
Focal Banger,,The Alchemist,7% ABV,90 IBU,4.403
Beck's,,Brauerei Beck,4.9% ABV,21 IBU,2.952
Red Stripe,,Desnoes & Geddes,4.7% ABV,23 IBU,3.104
Trappistes Rochefort 10,,Abbaye Notre-Dame de Saint-Rémy,11.3% ABV,27 IBU,4.06
La Trappe Quadrupel,,Bierbrouwerij De Koningshoeven,10% ABV,22 IBU,3.915
Punkin Ale,,Dogfish Head Craft Brewery,7% ABV,28 IBU,3.742
Furious,,Surly Brewing Company,6.7% ABV,100 IBU,3.854
Bourbon County Brand Stout,,Goose Island Beer Co.,15.2% ABV,60 IBU,4.376
Kentucky Breakfast Stout (KBS),,Founders Brewing Co.,12% ABV,70 IBU,4.379
Leffe Brune / Bruin,,Abbaye de Leffe,6.5% ABV,20 IBU,3.541
Duchesse de Bourgogne,,Brouwerij Verhaeghe,6.2% ABV,11 IBU,3.664
Kentucky Bourbon Barrel Ale,,Lexington Brewing & Distilling Co.,8.2% ABV,19 IBU,3.848
Dead Pony Club,,BrewDog,3.8% ABV,35 IBU,3.536
Busch Light,,Anheuser-Busch,4.1% ABV,5 IBU,2.58
London Pride,,Fuller's Griffin Brewery,4.1% ABV,30 IBU,3.408
SeaQuench Ale,,Dogfish Head Craft Brewery,4.9% ABV,10 IBU,3.696
Hell or High Watermelon,,21st Amendment Brewery,4.9% ABV,17 IBU,3.515
Crisp Apple,,Angry Orchard Cider Company,5% ABV,10 IBU,3.538
Westmalle Trappist Dubbel,,Brouwerij der Trappisten van Westmalle,7% ABV,30 IBU,3.694
Raging Bitch,,Flying Dog Brewery,8.3% ABV,60 IBU,3.641
Staropramen Premium / Ležák 12,,Pivovary Staropramen,5% ABV,27 IBU,3.243
Porter,,Founders Brewing Co.,6.5% ABV,45 IBU,3.861
Corona Light,,Grupo Modelo,4.1% ABV,18 IBU,2.801
Purple Haze,,Abita Brewing Company,4.2% ABV,13 IBU,3.428
Kilkenny,,Guinness,4.3% ABV,N/A IBU,3.404
Resin,,Sixpoint Brewery,9.1% ABV,103 IBU,3.957
Grimbergen Blonde,,Brouwerij Alken-Maes,6.7% ABV,22 IBU,3.491
Alpha King,,3 Floyds Brewing,6.66% ABV,68 IBU,3.957
Chimay Cinq Cents (White),,Bières de Chimay,8% ABV,38 IBU,3.732
IPA,,SweetWater Brewing Company,6.3% ABV,50 IBU,3.667
Gulden Draak Classic,,Brouwerij Van Steenberge,10.5% ABV,30 IBU,3.773
DayTime IPA,,Lagunitas Brewing Company,4% ABV,31 IBU,3.537
CORNET Oaked,,Brouwerij De Hoorn,8.5% ABV,25 IBU,3.611
Hobgoblin Legendary Ruby Beer,,Wychwood Brewery,5.2% ABV,32 IBU,3.4
Tiger,,Heineken Asia Pacific,5% ABV,18 IBU,2.949
1664 Blanc,,Kronenbourg Brewery,5% ABV,7 IBU,3.487
Young's Double Chocolate Stout,,Eagle Brewery (formerly Charles Wells),5.2% ABV,25 IBU,3.67
Victory at Sea,,Ballast Point Brewing Company,10% ABV,60 IBU,4.058
Backwoods Bastard,,Founders Brewing Co.,11% ABV,50 IBU,4.111
Daisy Cutter Pale Ale,,Half Acre Beer Company,5.2% ABV,60 IBU,3.786
Snake Dog IPA,,Flying Dog Brewery,7.1% ABV,60 IBU,3.594
Accumulation IPA,,New Belgium Brewing Company,6.5% ABV,70 IBU,3.625
Krombacher Pils,,Krombacher Gruppe,4.8% ABV,24 IBU,3.254
805,,Firestone Walker Brewing Company,4.7% ABV,20 IBU,3.554
Toasted Lager,,Blue Point Brewing Company,5.5% ABV,28 IBU,3.508
King Sue,,Toppling Goliath Brewing Co.,7.8% ABV,100 IBU,4.31
Hazelnut Brown Nectar,,Rogue Ales,5.6% ABV,33 IBU,3.792
Green,,Tree House Brewing Company,7.5% ABV,90 IBU,4.425
Stone Tangerine Express Hazy IPA,,Stone Brewing,6.7% ABV,75 IBU,3.678
Saison Dupont,,Brasserie Dupont,6.5% ABV,30 IBU,3.691
Trappistes Rochefort 8,,Abbaye Notre-Dame de Saint-Rémy,9.2% ABV,22 IBU,3.848
Mirror Pond,,Deschutes Brewery,5% ABV,40 IBU,3.602
Brew Free! or Die,,21st Amendment Brewery,6.8% ABV,65 IBU,3.755
Banana Bread Beer,,Eagle Brewery (formerly Charles Wells),5.2% ABV,18 IBU,3.552
Neck Oil,,Beavertown,4.3% ABV,31 IBU,3.639
San Miguel (5.0%),,Carlsberg UK,5% ABV,4 IBU,2.991
Miller Genuine Draft,,Miller Brewing Company,4.7% ABV,12 IBU,2.58
Rodenbach Grand Cru,,Brouwerij Rodenbach,6% ABV,35 IBU,3.653
Rübæus,,Founders Brewing Co.,5.7% ABV,15 IBU,3.735
Honkers Ale,,Goose Island Beer Co.,4.3% ABV,30 IBU,3.409
Old Chub®,,Oskar Blues Brewery®,8% ABV,30 IBU,3.729
Trappist Westvleteren 12,,Brouwerij De Sint-Sixtusabdij van Westvleteren,10.2% ABV,38 IBU,4.488
Mosaic Promise,,Founders Brewing Co.,5.5% ABV,50 IBU,3.762
Chimay Première (Red),,Bières de Chimay,7% ABV,19 IBU,3.728
M-43 N.E. India Pale Ale,,Old Nation Brewing Co.,6.8% ABV,65 IBU,4.173
Pumpkinhead Ale,,Shipyard Brewing Company,4.5% ABV,18 IBU,3.616
Organic Chocolate Stout,,Samuel Smith,5% ABV,28 IBU,4.044
Namaste White,,Dogfish Head Craft Brewery,4.8% ABV,20 IBU,3.598
Houblon Chouffe,,Brasserie d'Achouffe,9% ABV,47 IBU,3.674
Bomb!,,Prairie Artisan Ales,13% ABV,65 IBU,4.296
Stone Xocoveza,,Stone Brewing,8.1% ABV,50 IBU,4.017
Amber,,Alaskan Brewing Co.,5.3% ABV,18 IBU,3.608
Palm Spéciale,,Brouwerij Palm,5.2% ABV,18 IBU,3.357
Brooklyn Summer Ale,,Brooklyn Brewery,5% ABV,18 IBU,3.45
Bud Light Lime,,Anheuser-Busch,4.2% ABV,8 IBU,2.641
Lagerbier Hell,,Augustiner-Bräu München,5.2% ABV,12 IBU,3.642
Brown Shugga',,Lagunitas Brewing Company,10% ABV,51 IBU,3.743
1554,,New Belgium Brewing Company,6% ABV,21 IBU,3.689
Mooie Nel IPA / Northsea IPA,,Jopen,6.5% ABV,70 IBU,3.593
Paulaner Münchner Hell / Münchner Lager / Original Munich Lager,,Paulaner Brauerei,4.9% ABV,20 IBU,3.446
Shiner Holiday Cheer,,Spoetzl Brewery,5.4% ABV,22 IBU,3.595
White Rascal,,Avery Brewing Co.,5.6% ABV,22 IBU,3.624
IJwit,,Brouwerij 't IJ,6.5% ABV,21 IBU,3.678
Summer Love,,Victory Brewing Company,5.2% ABV,25 IBU,3.456
Schöfferhofer Grapefruit,,Radeberger Gruppe,2.5% ABV,N/A IBU,3.585
Morland Old Speckled Hen,,Greene King,5% ABV,N/A IBU,3.368
Porch Rocker,,Samuel Adams,4.5% ABV,8 IBU,3.509
Maduro Brown Ale,,Cigar City Brewing®,5.5% ABV,25 IBU,3.76
Moon Man,,New Glarus Brewing Company,5% ABV,N/A IBU,3.829
Snowdrift Vanilla Porter,,Jacob Leinenkugel Brewing Company,6% ABV,16 IBU,3.525
Foster's Lager,,Carlton & United Breweries,4% ABV,12 IBU,2.79
Hop House 13 Lager,,Guinness,4.1% ABV,N/A IBU,3.374
Gamma Ray,,Beavertown,5.4% ABV,45 IBU,3.732
Original,,Innis & Gunn,6.6% ABV,18 IBU,3.544
Castaway IPA,,Kona Brewing Hawaii,6% ABV,50 IBU,3.535
La Trappe Blond,,Bierbrouwerij De Koningshoeven,6.5% ABV,20 IBU,3.671
Pub Ale,,Boddington's Brewery,4.6% ABV,N/A IBU,3.383
La Trappe Dubbel,,Bierbrouwerij De Koningshoeven,7% ABV,22 IBU,3.63
IPA,,Odell Brewing Co.,7% ABV,60 IBU,3.843
Fire Rock Pale Ale,,Kona Brewing Hawaii,5.8% ABV,35 IBU,3.463
Ayinger Celebrator,,Ayinger Privatbrauerei,6.7% ABV,24 IBU,3.766
Jaipur,,Thornbridge Brewery,5.9% ABV,55 IBU,3.546
Duet,,Alpine Beer Company,7% ABV,41 IBU,3.953
Axe Man,,Surly Brewing Company,7.2% ABV,65 IBU,4.113
Flesh & Blood IPA,,Dogfish Head Craft Brewery,7.5% ABV,45 IBU,3.788
Radeberger Pilsner,,Radeberger Gruppe,4.8% ABV,33 IBU,3.168
Gouden Carolus Tripel,,Brouwerij Het Anker,9% ABV,30 IBU,3.821
Hefeweizen,,Widmer Brothers Brewing,4.9% ABV,30 IBU,3.466
Affligem Tripel,,Affligem Brouwerij,9% ABV,N/A IBU,3.667
Narragansett Lager,,Narragansett Brewing Company,5% ABV,12 IBU,3.199
Veltins Pilsener,,Brauerei VELTINS,4.8% ABV,30 IBU,3.173
Modus Hoperandi,,Ska Brewing,6.8% ABV,75 IBU,3.746
Tripel,,Brouwerij St.Bernardus,8% ABV,25 IBU,3.757
Magners Original Irish Cider,,Magners Irish Cider,4.5% ABV,N/A IBU,3.302
Straffe Hendrik Brugs Tripel Bier 9°,,Brouwerij De Halve Maan,9% ABV,35 IBU,3.758
Grimbergen Dubbel,,Brouwerij Alken-Maes,6.5% ABV,22 IBU,3.585
Delirium Nocturnum,,Delirium - Huyghe Brewery,8.5% ABV,24 IBU,3.768
Icelandic White Ale,,Einstök Ölgerð,5.2% ABV,N/A IBU,3.666
Sofie,,Goose Island Beer Co.,6.5% ABV,20 IBU,3.752
The Substance,,Bissell Brothers Brewing Company,6.6% ABV,80 IBU,4.132
IPA,,Brouwerij 't IJ,6.5% ABV,50 IBU,3.54
12th of Never Ale,,Lagunitas Brewing Company,5.5% ABV,45 IBU,3.687
Super Bock,,Super Bock Group,5.2% ABV,16 IBU,3.049
Stone Ripper,,Stone Brewing,5.7% ABV,40 IBU,3.648
Aventinus (TAP06),,Schneider Weisse G. Schneider & Sohn,8.2% ABV,16 IBU,3.818
Straffe Hendrik Brugs Quadrupel Bier 11°,,Brouwerij De Halve Maan,11% ABV,35 IBU,3.889
Original (TAP07),,Schneider Weisse G. Schneider & Sohn,5.4% ABV,14 IBU,3.665
Speedway Stout,,AleSmith Brewing Company,12% ABV,70 IBU,4.173
Oktoberfest,,Jacob Leinenkugel Brewing Company,5.1% ABV,20 IBU,3.39
Finestkind IPA,,Smuttynose Brewing Co.,6.9% ABV,75 IBU,3.642
Green Line Pale Ale,,Goose Island Beer Co.,5.4% ABV,30 IBU,3.478
Oktoberfest Märzen / Original Münchner Märzen,,Paulaner Brauerei,5.8% ABV,20 IBU,3.681
Indian Brown,,Dogfish Head Craft Brewery,7.2% ABV,50 IBU,3.762
Trooper,,Robinsons Brewery,4.7% ABV,35 IBU,3.367
Leffe Triple / Tripel,,Abbaye de Leffe,8.5% ABV,15 IBU,3.647
Aecht Schlenkerla Rauchbier – Märzen,,"Schlenkerla (""Heller-Bräu"" Trum)",5.1% ABV,30 IBU,3.485
Bloodline Blood Orange IPA,,Flying Dog Brewery,8% ABV,40 IBU,3.661
ESB,,Fuller's Griffin Brewery,5.5% ABV,35 IBU,3.552
5AM Saint,,BrewDog,5% ABV,35 IBU,3.618
Natural Light,,Anheuser-Busch,4.2% ABV,10 IBU,2.153
