beer_id,name,brewery,style,alcohol,release_date,rating,ibu,hops,malts,additives
22427,Bitter Finish Isn’t Crime,Mad Frog Brewery,IPA - American,5.6,2021-03-12,3.93,60,"Magnum, Columbus, El Dorado, Medusa",unknown,unknown
22428,"Cheer Up, My Brother",Mad Frog Brewery,Wheat Beer - Witbier / Blanche,5,2021-03-12,3.9,10,unknown,unknown,unknown
22429,I Got the Remedy,Mad Frog Brewery,Sour - Fruited,4.8,2021-03-05,3.94,11,unknown,unknown,unknown
22430,Good Mood,Mad Frog Brewery,IPA - Milkshake,6,2021-02-25,3.96,30,"Mosaic, El Dorado, Galaxy",unknown,Lactose
22431,White Whale,Mad Frog Brewery,IPA - New England / Hazy,6.2,2021-02-25,4.03,40,"Columbus, El Dorado, Strata, HBC472, Medusa",unknown,unknown
22432,Californication,Mad Frog Brewery,IPA - White / Wheat,6.2,2021-02-19,4.09,35,"HBC472, Strata",unknown,unknown
22433,Fog in a Can,Mad Frog Brewery,Sour - Fruited,6,2021-02-19,3.99,11,unknown,unknown,"Feijoa, Orange Peel"
22434,Dog Poisoner (coconut+),Mad Frog Brewery,Porter - Other,6.8,2021-02-05,3.99,30,unknown,unknown,Coconut
22435,Sour Face,Mad Frog Brewery,Sour - Other,5.5,2021-01-14,3.94,2,unknown,unknown,"Tangerine, Pineapple, Passion fruit"
22436,Hoppy Pie with Tasty Nothing,Mad Frog Brewery,IPA - Milkshake,6.9,2021-01-14,4.01,45,"Galaxy, Vic Secret",unknown,Lactose
22437,Red Line,Mad Frog Brewery,IPA - Red,6,2021-01-14,3.83,65,"Columbus, Centennial, Southern Dawn",unknown,unknown
22438,Choco Rabbits,Mad Frog Brewery,Porter - Other,6,2021-01-08,3.78,10,unknown,unknown,"Cocoa, Chocolate"
22439,Holidays You Need,Mad Frog Brewery,IPA - Milkshake,6.4,2020-12-30,4.03,30,"Mosaic, HBC472",unknown,"Guava, Passion fruit, Lactose"
22440,Something New,Mad Frog Brewery,Fruit Beer,5.5,2020-12-30,4.04,15,unknown,unknown,"Tamarillo, Pomegranate juice"
22441,Keep It Rolling,Mad Frog Brewery,Sour - Fruited,5.8,2020-12-11,4.21,11,unknown,unknown,"Lactose, Black Currant"
22442,Gently Dreaming Tropicana,Mad Frog Brewery,IPA - Milkshake,6.4,2020-12-11,4.03,30,"Cascade, Mosaic",unknown,"Orange, Passion fruit, Lactose, Peach"
22443,Gingerbread Man,Mad Frog Brewery,Stout - Milk / Sweet,6.2,2020-12-02,4.02,20,unknown,unknown,unknown
22444,Tomato Soup,Mad Frog Brewery,Sour - Traditional Gose,6,2020-11-26,3.98,10,unknown,unknown,unknown
22445,Dragonfrog,Mad Frog Brewery,Sour - Fruited,5.5,2020-11-19,4.11,11,unknown,unknown,Blueberry
22446,Carolina Starfrog and Spicy Tomato Flavored Water,Mad Frog Brewery,Sour - Traditional Gose,6,2020-11-12,4.14,10,unknown,unknown,"Tomato, Red Pepper"
22447,Hefeweizen,Malanka,Wheat Beer - Hefeweizen,5,2022-08-16,3.9,13,Spalter Select,"Pilsner, Wheat",unknown
22448,Saĺsa: Chinese BBQ,Malanka,Sour - Other Gose,4,2022-08-12,4.48,9,unknown,Pilsner,"Tomato, Sweet Pepper, Szuchuan Pepper, Red Pepper"
22449,Imhla: Nelson Sauvin,Malanka,IPA - New England / Hazy,6,2022-08-09,4.24,32,Nelson Sauvin,"Pilsner, Flaked Oats",unknown
22450,Vietraź: Limon i kaliandra,Malanka,Wheat Beer - Witbier / Blanche,5.3,2022-08-05,4.02,14,Spalter Select,"Pilsner, Flaked Wheat","Lemon Zest, Coriander"
22451,Chaliera: Zappa,Malanka,IPA - American,6.9,2022-08-02,4.15,96,Zappa,Pilsner,unknown
22452,Grodziskie: Zubroŭka,Malanka,Grodziskie / Grätzer,4.7,2022-07-29,4.09,16,Spalter Select,Smoked Wheat Malt,unknown
22453,Pavietra: Lemondrop,Malanka,Pale Ale - New England / Hazy,4.7,2022-07-27,4.08,27,Lemondrop,"Pilsner, Flaked Oats",unknown
22454,Imža: Truskaŭki i bazilik,Malanka,Sour - Fruited Berliner Weisse,3,2022-07-27,4.16,8,unknown,"Pilsner, Wheat","Strawberry, Basil"
22455,Smuha: HBC 630,Malanka,IPA - Imperial / Double New England / Hazy,6.8,2022-07-21,4.28,39,HBC630,"Pilsner, Flaked Oats",unknown
22456,Mlosć: Sabro,Malanka,Pale Ale - American,5.5,2022-07-19,4.26,50,Sabro,Pilsner,unknown
22457,Zmrok: Banan i šakalad,Malanka,Stout - Imperial / Double Milk,6.8,2022-07-12,4.38,32,unknown,"Vienna, Chocolate, Roasted Barley, Aroma","Banana, Chocolate"
22458,Imhla: Kohatu,Malanka,IPA - New England / Hazy,6.5,2022-07-08,4.08,32,Kohatu,"Pilsner, Flaked Oats",unknown
22459,Lichamanka: Galaxy,Malanka,IPA - Imperial / Double,6.8,2022-07-06,4.22,80,Galaxy,Pilsner,unknown
22460,Muson: Manha i ananas,Malanka,Sour - Fruited,5,2022-07-01,4.13,11,unknown,"Pilsner, Wheat","Mango, Pineapple"
22461,Pavaloka: Citra & Sabro,Malanka,IPA - Triple New England / Hazy,6.8,2022-06-29,4.45,39,"Citra, Sabro","Pilsner, Flaked Oats",unknown
22462,Chaliera: Citra & Galaxy & Kohatu,Malanka,IPA - American,6,2022-06-21,4.28,60,"Citra, Galaxy, Kohatu",Pilsner,unknown
